WIMB,Monoglobus_absabun,Ruminococcus_torques_group_absabund,Monoglobus_relabund,Ruminococcus_torques_group_relabund,Totalreads_sample,SPID
207,38,172,0.001079484,0.004886086,35202,5115137862
208,94,149,0.003230685,0.005120979,29096,5105645057
209,65,958,0.001850745,0.027277128,35121,5105651852
21,802,6508,0.020428437,0.165770906,39259,5084830385
210,519,1052,0.017045455,0.034550709,30448,5094514374
212,57,1123,0.002821084,0.055580302,20205,5094680647
213,59,573,0.002261316,0.021961596,26091,5094680270
214,213,867,0.005742169,0.023373052,37094,5094625531
215,210,86,0.006545115,0.00268038,32085,5095547368
216,35,144,0.000945256,0.003889054,37027,5095577830
217,110,337,0.005107727,0.015648217,21536,5094547431
218,94,905,0.002514848,0.024212103,37378,5094518888
219,127,2065,0.002410416,0.039192985,52688,5105784415
22,6,768,0.000204151,0.026131337,29390,5115174514
221,352,972,0.00970392,0.026796052,36274,5094686577
222,47,4373,0.001131712,0.105297375,41530,5095530133
223,86,1324,0.002633513,0.040543851,32656,5095541348
224,21,206,0.000733061,0.00719098,28647,5105714888
225,145,3632,0.004023196,0.100774118,36041,5094502401
226,292,2939,0.005140574,0.051740225,56803,5105462010
227,70,622,0.001931141,0.017159567,36248,5105622360
228,143,42,0.004604437,0.001352352,31057,5084738165
229,145,1028,0.004674856,0.033143115,31017,5105660186
23,182,2990,0.006015733,0.098829907,30254,5115162405
230,194,1152,0.006724204,0.039929292,28851,5084803138
231,149,499,0.005537798,0.018546049,26906,5084778324
232,0,398,0,0.017695967,22491,5084805021
234,144,57,0.0047901,0.001896081,30062,5095555324
235,33,1575,0.001679731,0.080168991,19646,5095501841
236,147,1182,0.005068266,0.040753,29004,5095553343
237,72,691,0.001744989,0.016747049,41261,5115170437
238,57,538,0.002079988,0.01963217,27404,5094513841
239,751,450,0.032183415,0.019284337,23335,5094568027
240,240,907,0.008502196,0.032131217,28228,5094563574
241,501,2384,0.014598753,0.069467918,34318,5094674825
242,51,105,0.001023131,0.002106446,49847,5115175058
243,41,4022,0.000870433,0.085387343,47103,5115182812
244,138,662,0.004542163,0.021789217,30382,5095515404
245,14,1092,0.000517388,0.040356259,27059,5095522820
