WIMB,Monoglobus_absabun,Ruminococcus_torques_group_absabund,Monoglobus_relabund,Ruminococcus_torques_group_relabund,Totalreads_sample,SPID
707,294,1610,0.00937231,0.051324556,31369,1623713457
708,305,185,0.009958858,0.006040619,30626,3471713745
709,16,351,0.000364042,0.007986166,43951,2510437785
71,32,1534,0.001044216,0.050057106,30645,5094668518
711,154,959,0.004686406,0.029183531,32861,3464055587
712,24,4007,0.001378518,0.230155083,17410,3406582741
718,44,255,0.001232217,0.007141257,35708,4154720357
719,372,2022,0.011300808,0.06142536,32918,2020836520
72,163,677,0.003376069,0.014022079,48281,5094612423
721,25,241,0.000960393,0.009258192,26031,1955534300
726,35,953,0.00195498,0.053231302,17903,3256332237
727,53,197,0.00221202,0.008222037,23960,1121567836
73,124,232,0.002684796,0.005023167,46186,5094603566
730,0,3048,0,0.153729762,19827,3128672221
732,87,1193,0.004778907,0.065531447,18205,2602358470
733,0,1952,0,0.086921673,22457,2612757365
734,12,117,0.000476323,0.004644147,25193,3283662135
736,10,702,0.00048539,0.034074362,20602,1172372104
738,15,59,0.000586877,0.002308385,25559,3464355350
739,47,393,0.002519027,0.021063351,18658,2661621307
74,822,1933,0.022372826,0.052611524,36741,5084828122
740,206,243,0.008900795,0.010499482,23144,2615667580
741,73,115,0.003508603,0.005527252,20806,3918058532
742,13,30,0.000571353,0.001318507,22753,3970473126
743,77,817,0.003098841,0.03287991,24848,1617012672
744,296,219,0.014675988,0.010858248,20169,1600008708
746,147,620,0.004994224,0.021064076,29434,1175388648
749,24,1367,0.000811633,0.046229286,29570,1188338858
75,207,157,0.007008397,0.005315547,29536,5084871561
751,334,455,0.012578616,0.01713554,26553,1146403725
752,0,145,0,0.005548328,26134,1108746346
755,0,470,0,0.016251729,28920,3360268326
756,116,6294,0.003220254,0.174726556,36022,2970080631
759,27,139,0.00120827,0.006220353,22346,1113485301
76,206,3214,0.006128217,0.095612078,33615,5094560487
760,102,1200,0.003825526,0.045006188,26663,1565622473
763,214,478,0.007368131,0.016457788,29044,2074068672
765,250,157,0.013546464,0.00850718,18455,4367645675
767,143,137,0.004228392,0.004050977,33819,9716282508
77,31,13,0.000595982,0.000249928,52015,5094533570
770,0,662,0,0.01969066,33620,1575628731
771,156,152,0.005393072,0.005254788,28926,2048732030
774,54,92,0.002649657,0.00451423,20380,2610631077
775,41,1552,0.00146392,0.055414718,28007,2645388662
776,0,216,0,0.012334399,17512,1414453531
777,50,213,0.002295263,0.009777819,21784,1572711380
778,45,144,0.00186374,0.005963968,24145,1564231548
779,31,1422,0.001189882,0.054581046,26053,1127870155
78,653,149,0.017830812,0.004068593,36622,5094578578
780,83,175,0.003673379,0.007745076,22595,2656235148
781,138,862,0.010969793,0.068521463,12580,1908302271
782,50,459,0.003548112,0.032571672,14092,1906555318
783,21,197,0.00078983,0.007409358,26588,1153214567
785,202,112,0.005797101,0.003214234,34845,1388327286
786,142,267,0.004069468,0.007651745,34894,1330684817
787,120,308,0.002959091,0.007594999,40553,1380121266
788,52,1483,0.001495972,0.042663982,34760,2677265218
789,205,1046,0.007020548,0.035821918,29200,2643658577
79,656,4326,0.015486308,0.102124646,42360,5094515247
791,31,1593,0.000766246,0.039375139,40457,1146720730
793,234,1585,0.007014599,0.047513415,33359,1517425150
794,39,183,0.001313529,0.006163484,29691,2552275081
795,76,2626,0.00245597,0.084860236,30945,1511012226
796,0,0,0,0,17463,1538137784
798,19,1019,0.00056769,0.030446084,33469,1327207082
799,55,275,0.001156069,0.005780347,47575,1318627140
8,153,1300,0.002849056,0.024207665,53702,5094554048
80,26,1908,0.000718351,0.05271592,36194,5094638871
800,107,2513,0.003235561,0.075990324,33070,2088760780
802,49,581,0.001174581,0.013927176,41717,1168035468
804,104,1302,0.002823862,0.035352575,36829,1165606356
805,26,358,0.000710926,0.00978891,36572,1568503828
807,77,1102,0.0028,0.040072727,27500,2616181158
808,155,2338,0.00410194,0.061873131,37787,2560120136
809,55,439,0.001097257,0.008758105,50125,1564286020
81,474,3487,0.012844484,0.094490963,36903,5094643568
810,292,794,0.008677821,0.023596541,33649,2568263263
811,51,985,0.003596615,0.069464034,14180,2346225661
812,34,443,0.001533673,0.019982859,22169,2271118715
814,211,420,0.005032317,0.010016933,41929,3155350337
815,406,2506,0.009001219,0.055559251,45105,1530806352
816,192,714,0.004677679,0.017395118,41046,2501417438
818,474,411,0.012226579,0.010601527,38768,2620372212
819,73,360,0.00150562,0.007424977,48485,2605283205
82,159,1852,0.004615251,0.053757511,34451,5081048031
821,234,165,0.005553973,0.003916263,42132,3256410843
822,31,1086,0.001107261,0.03878987,27997,1543816870
823,1036,3274,0.020236351,0.063951558,51195,1572326367
828,257,139,0.006715969,0.003632373,38267,1552281756
829,138,1519,0.004293715,0.047261979,32140,1188551100
83,68,1750,0.001695338,0.043630017,40110,5081071620
830,35,238,0.001551281,0.01054871,22562,1576057477
831,55,236,0.002757445,0.011831946,19946,1514344414
832,72,10244,0.00139362,0.198281202,51664,2524716207
834,164,165,0.003331099,0.003351411,49233,2687788815
835,187,1373,0.004266095,0.031322718,43834,2680433064
836,534,640,0.011482883,0.013762257,46504,2212037631
837,475,1811,0.012116729,0.046196623,39202,1416628058
838,76,571,0.00208906,0.015695437,36380,2667302224
839,122,260,0.003253247,0.006933148,37501,1531661560
84,60,2916,0.001432665,0.069627507,41880,5102210228
843,99,809,0.00360262,0.029439592,27480,3233885463
844,25,2000,0.001626969,0.130157491,15366,3245827857
846,134,837,0.006729948,0.042037065,19911,1356528356
847,65,3228,0.001185331,0.058865365,54837,2643166285
848,0,1073,0,0.032514166,33001,1514256416
849,42,528,0.001278422,0.016071592,32853,9765638415
85,212,334,0.005770435,0.009091157,36739,5102288363
850,68,6688,0.002681811,0.263764001,25356,1535485116
851,0,1066,0,0.022088686,48260,1140875514
852,22,225,0.000624521,0.006387146,35227,1113602225
853,6,1277,0.000256531,0.054598315,23389,1137345574
854,48,3667,0.001180202,0.090162524,40671,1511670155
855,32,239,0.001157449,0.008644699,27647,1361403580
856,145,1777,0.002962509,0.036306058,48945,3238872284
857,337,248,0.01214677,0.00893887,27744,3153186682
858,0,162,0,0.004827031,33561,3161666533
859,898,604,0.021388082,0.014385748,41986,1508250674
86,328,1522,0.012654321,0.058719136,25920,5084821357
860,181,481,0.003008244,0.007994283,60168,3102888463
862,21,3929,0.000684418,0.128051364,30683,2653684040
863,93,771,0.003440622,0.028523862,27030,3168552087
865,116,482,0.00340176,0.014134897,34100,1111404217
866,0,996,0,0.027827447,35792,1585227607
867,80,2707,0.002719793,0.092031006,29414,1545033025
868,206,1067,0.004475148,0.023179527,46032,1348715800
869,0,531,0,0.020848875,25469,3485124652
87,0,207,0,0.006091639,33981,5081025471
870,72,497,0.002859867,0.019741023,25176,1575885013
871,85,526,0.00376306,0.023286701,22588,1507012317
872,10,1004,0.000413787,0.041544255,24167,1966208460
873,59,1225,0.001416601,0.029412471,41649,1156828100
874,42,117,0.00311019,0.0086641,13504,1561027155
876,0,123,0,0.007205202,17071,1518554536
877,47,30,0.002695572,0.001720578,17436,3162183075
878,30,516,0.002727769,0.046917621,10998,1122665566
879,0,52,0,0.002055742,25295,1161322036
88,382,2540,0.00698968,0.046475884,54652,5115255765
880,64,260,0.00436443,0.017730496,14664,1526457227
881,185,2087,0.004880751,0.055060152,37904,3225436420
882,363,1081,0.006500833,0.019359229,55839,1575251381
883,298,1575,0.006614579,0.034959602,45052,1513744047
885,530,257,0.014367816,0.006967035,36888,9701028665
886,21,27,0.000570002,0.000732859,36842,9707711853
887,102,1552,0.001970215,0.029978173,51771,2365125450
89,53,689,0.00200674,0.026087615,26411,5115124833
891,118,72,0.002949558,0.00179973,40006,3271733171
894,168,168,0.006690562,0.006690562,25110,1502140254
895,51,643,0.002890337,0.036440918,17645,3257151451
896,26,731,0.000591003,0.01661628,43993,1565243451
90,48,57,0.001815431,0.002155825,26440,5115187427
901,161,940,0.004378927,0.025566405,36767,1987140557
91,71,45,0.002278489,0.001444113,31161,5115200784
911,94,333,0.00445878,0.015795465,21082,3271053655
912,29,330,0.001637585,0.018634593,17709,2632112465
913,27,48,0.00102203,0.001816943,26418,3248030816
914,128,4517,0.00204597,0.072200377,62562,1130037460
917,279,847,0.005438066,0.016509112,51305,2687406611
918,215,1383,0.00627554,0.040367776,34260,2667828078
919,46,79,0.001404109,0.002411404,32761,2372134008
92,0,495,0,0.02676399,18495,5115152623
920,34,104,0.003800581,0.011625307,8946,2341004378
921,227,0,0.009765121,0,23246,3583885130
922,191,71,0.0079663,0.002961295,23976,2550332708
923,401,1373,0.018170284,0.062213965,22069,2537477045
93,0,0,0,0,105067,5115156221
94,36,318,0.001677071,0.014814125,21466,5102243174
95,147,2157,0.00228719,0.033561015,64271,5102278850
96,158,1602,0.006023407,0.061072776,26231,5115116804
97,149,272,0.003966986,0.007241747,37560,5115203671
98,102,2150,0.002761533,0.058208794,36936,5115226266
99,1139,1724,0.04980977,0.075392487,22867,5084825861
